id,buyerName,lenderName,address,recordingDate,saleValue,loanAmount
789,RUBY SLIPPERS PPV LLC,LOEBL STEPHEN,746 N RIDGEWOOD PL,2024-11-19,3295000,2471000
790,FIFTY THREE CASE LLC,FUTUREPROOFING LLC,427 E 61ST ST,2024-11-19,370000,375000
791,PC REAL ESTATE INVESTMENTS LLC,KIAVI FUNDING INC,5515 HARCROSS DR,2024-11-15,965000,1086000
792,TUP 3754 HARVARD HOUSING LLC,CONVENTUS LLC,1637 W 37TH ST,2024-11-15,900000,720000
793,EQUITY PREMIUM INVESTMENTS INC,REAL PROP FUNDING GROUP LLC,4101 W 60TH ST,2024-11-15,850000,800000
794,ARRIVL FLIP LLC,CENTER STREET LNDG VIII SPE LL,13007 DEWEY ST,2024-11-15,1700000,1800000
795,3558 GREENFIELD LLC,LEGACY LENDING LLC,3558 GREENFIELD AVE,2024-11-15,1175000,1997500
796,TRUMIKA CORPORATION,NATIONAL LOAN FUNDING LLC,303 W AVENUE 38,2024-11-15,785000,706000
797,AMI CAPITAL LLC,QUANTA FINANCE INC,6317 GARVANZA AVE,2024-11-15,825000,1026250
798,GI PROPERTY 93 LLC,QUANTA FINANCE INC,111 N KENMORE AVE,2024-11-15,1300000,1860246
799,AFFORDABLE PRO HOMES & INVESTMENTS LLC,KIAVI FUNDING INC,916 S NORTON AVE,2024-11-14,846000,1042600
800,4J ST THERESA LLC,ARCHWEST FUNDING LLC,1089 S ORANGE DR,2024-11-14,1150000,920000
801,H1 UNDERGROUND LLC,CENTER STREET LNDG VIII SPE LL,659 S SOTO ST,2024-11-14,800000,1382880
802,3320 STONER AVE LLC,PRIDECO LOANS INC,3320 STONER AVE,2024-11-14,1325000,1340000
803,RADICAL ENTERPRISES INC,ASPEN RETIREMENT FUND LLC,1208 E 73RD ST,2024-11-14,500000,520000
804,5 STAR FUND II LLC,ARIXA ENHANCED INCOME FUND LP,4284 S WESTERN AVE,2024-11-13,926000,3055000
805,COKO LLC,EASY STREET CAPITAL CA LLC,12441 VERDI ST,2024-11-13,880000,895433
806,JOSHUA DELL DEVELOPMENT LLC,CENTER STREET LNDG VIII SPE LL,12441 VERDI ST,2024-11-13,950000,894196
807,RAN REAL ESTATE GROUP,ANCHOR LOANS LP,3148 MADERA AVE,2024-11-13,1010000,1393987
808,801 WATERLOO PARTNERS LP,GENESIS CAPITAL LLC,807 WATERLOO ST,2024-11-13,2500,928125
809,URBAN CITIES DEVELOPMENT INC,CM INC MPPP,3015 FUTURE PL,2024-11-13,375000,747000
810,AVOCADO DEVELOPMENT LLC,CENTER STREET LNDG VIII SPE LL,1641 N OGDEN DR,2024-11-13,2362500,2658060
811,FG HOMES LLC,QUANTA FINANCE INC,6047 DENNISON ST,2024-11-13,833500,908475
812,EWA CAPITAL LLC,HL3 SIERRA LLC,6047 DENNISON ST,2024-11-13,1025000,1182500
813,DREAMERS INVESTMENT LLC,QUANTA FINANCE INC,2405 CLYDE AVE,2024-11-12,760000,746000
814,WRT INVESTMENTS INC,ANCHOR LOANS LP,123 W 56TH ST,2024-11-12,492500,633250
815,BRIARWOOD DEVELOPMENTS LLC,KIAVI FUNDING INC,2357 MIDVALE AVE,2024-11-12,1675000,1974000
816,HP MODERN LLC,MO FINANCIAL INC,1018 MANZANITA ST,2024-11-12,1381000,1500000
817,TX RE OPPORTUNITY 0522 LLC,PARK PLACE FINANCE LLC,1558 W 47TH ST,2024-11-08,680000,665607
818,CLOVEWORTH LLC,RDCS INC,1337 E VERNON AVE,2024-11-08,1310000,278365
819,VIKINGA LLC,ORCHARD FUNDING,4963 WAWONA ST,2024-11-08,1300000,1536800
820,CFRDD1 LLC,CONVENTUS LLC,4912 ARGUS DR,2024-11-08,1344000,1300000
821,MS83 INVESTMENTS LLC,GENESIS CAPITAL LLC,556 W 108TH ST,2024-11-08,470000,423000
822,CALCOM SOLUTIONS INC,KIAVI FUNDING INC,2678 S LONGWOOD AVE,2024-11-07,470000,670800
823,RADICAL ENTERPRISES INC,ASPEN RETIREMENT FUND LLC,1633 E 47TH ST,2024-11-07,485000,506500
824,TRINIDAD WEST COAST INVESTMENTS LLC,EASY STREET CAPITAL CA LLC,4551 EAGLE ST,2024-11-07,525000,433125
825,4021 BEETHOVEN HOLDING LLC,HL3 SIERRA LLC,4021 BEETHOVEN ST,2024-11-07,1250000,1435900
826,TUKASA INC,ANCHOR LOANS LP,401 W AVENUE 37,2024-11-07,655000,865500
827,ASIC INVESTMENTS INC,ANCHOR LOANS LP,5226 S WILTON PL,2024-11-06,720000,750000
828,TWO WORLDS II PRESERVATION LIMITED PARTNERSHI,LUMENT REAL ESTATE CAPITAL LLC,1050 W 42ND ST,2024-11-06,1475000,14945000
829,TWO WORLDS II PRESERVATION LIMITED PARTNERSHI,LUMENT REAL ESTATE CAPITAL LLC,1052 W 42ND ST,2024-11-06,1475000,14945000
830,TUP HOLDINGS INC,EAST WEST BANK,1597 W 37TH ST,2024-11-06,2501000,1625000
831,TWO WORLDS II PRESERVATION LIMITED PARTNERSHI,LUMENT REAL ESTATE CAPITAL LLC,2625 S HARVARD BLVD,2024-11-06,1844000,14945000
832,3181 CARLYLE LLC,KIAVI FUNDING INC,2248 GLOVER PL,2024-11-06,745000,1010400
833,RIGHT CHOICE INVESTMENT GROUP LLC,PARK PLACE FINANCE LLC,3233 WONDER VIEW DR,2024-11-06,1700000,1670992
834,SOBREMESA LLC,HOMETOWN EQUITY MORTGAGE LLC,217 W 94TH ST,2024-11-06,780000,585000
835,AUSAR ECONOMIC DEVELOPMENT CORPORATION,ALLIANCE FINANCIAL MANAGEMENT,4350 S KANSAS AVE,2024-11-01,2395000,2770000
836,EAST SIDE PROPERTIES INC,FIDELITY ONE INVESTMENT TRUST,1862 DEL PASO AVE,2024-11-01,585000,602550
837,BUNGALOWE LLC,PRIDECO LOANS INC,6276 CHURCH ST,2024-11-01,855000,1025000
838,MR REHAB INC,KIAVI FUNDING INC,916 N OXFORD AVE,2024-11-01,760000,697000
839,CHOCTAW AMERICAN INSURANCE INC,LAND HOME FIN'L SERVICES INC,1426 W 90TH PL,2024-11-01,732000,707569
840,GARCIA CORTEZ PLASTERING INC,KIAVI FUNDING INC,1115 E 90TH ST,2024-11-01,440000,446200
841,JD WESTERN PARTNERS LLC,KIAVI FUNDING INC,654 W 98TH ST,2024-11-01,640000,448000
842,1556 GENESEE LLC,MIDFIRST BANK,1556 S GENESEE AVE,2024-10-31,1225000,918750
843,MOVEMENT INVESTMENTS LLC,KIAVI FUNDING INC,3738 S MUIRFIELD RD,2024-10-31,1110000,1159650
844,FIRST COME UP LLC,KIAVI FUNDING INC,2014 S BURNSIDE AVE,2024-10-31,800000,910800
845,PAN PARTNERSHIP INC,VELOCITY COMMERCIAL CAP LLC,700 E 50TH ST,2024-10-31,560000,915000
846,5 STAR DISCOUNT HOMES LLC,LOCKFORD FIN'L LLC,3127 W 60TH ST,2024-10-31,460000,700000
847,IBUY HOMES LLC,ANCHOR LOANS LP,5644 S GARTH AVE,2024-10-31,1100000,1190000
848,ORHYAN CAPITAL MANAGEMENT LLC,COREVEST AMERICAN FIN LNDR LLC,3720 BRUNSWICK AVE,2024-10-31,1225000,1132500
849,DAFINITY COMPANIES LP,GENESIS CAPITAL LLC,414 N BEACHWOOD DR,2024-10-31,1725000,2029379
850,OCEAN DEVELOPMENT INC,RAHM DAVID,504 E 65TH ST,2024-10-31,570000,970000
851,EQUITY UNIVERSAL LLC,CHANGE LENDING LLC,822 W 65TH ST,2024-10-31,544000,435200
852,PYRAMID INVESTMENTS INC,LIMA ONE CAPITAL LLC,114 W 94TH ST,2024-10-31,404000,433375
853,DRH RE GROUP LLC,CENTER STREET LNDG VIII SPE LL,6341 S VICTORIA AVE,2024-10-30,795000,838550
854,RNE DEVELOPMENT LLC,VERUS RESIDENTIAL LOANCO LLC,3724 STEWART AVE,2024-10-30,1500000,1125000
855,LIVE RAD LLC,ALI AKBAR KHOSHNEVIS RAD AND M,412 N IRVING BLVD,2024-10-30,1264000,1020000
856,CLEARPOINT INVESTMENT GROUP LLC,IRON BRIDGE MORTGAGE FUND LLC,1307 W 59TH PL,2024-10-30,447000,456000
857,KJT PROPERTIES LLC,FRANCIS RLTY INC PROFIT SHARIN,1551 W 103RD ST,2024-10-30,550000,365000
858,ROYDEN INVESTEMENT LLC,EQUITY SMART HOME LOANS INC,4714 6TH AVE,2024-10-29,1100000,715000
859,FVR GROUP THIRTEEN LLC,HL3 SIERRA LLC,1249 S BURNSIDE AVE,2024-10-29,1110000,999000
860,DOGTOWN MODERN LLC,ANCHOR LOANS LP,7854 TRUXTON AVE,2024-10-29,1055000,949500
861,777 APARTMENT MANAGEMENT LLC,CONVENTUS LLC,441 W 79TH ST,2024-10-29,1280000,1020000
862,KALAN INVESTMENTS LLC,LBC CAP INCOME FUND SPE 1 LLC,1519 W 125TH ST,2024-10-29,670000,469000
863,MOPANE INVESTMENTS LLC,INVESTOR MORTGAGE FINANCE LLC,1100 W 48TH ST,2024-10-28,650000,487500
864,PAN PARTNERSHIP INC,VELOCITY COMMERCIAL CAP LLC,3051 EAGLE ST,2024-10-28,641000,1002900
865,1606 KINGSLEY HOLDING LLC,QUANTA FINANCE INC,1606 N KINGSLEY DR,2024-10-28,1185000,1736040
866,1095 NK AVENUE LLC,HSBC BANK USA NA,1095 N KENTER AVE,2024-10-25,3295000,2636000
867,KPH PARTNERS LLC,ANCHOR LOANS LP,3820 S BURNSIDE AVE,2024-10-25,1025000,1206275
868,90006 SNH LLC,LOGAN FINANCE CORPORATION,1329 S NEW HAMPSHIRE AVE,2024-10-25,630000,472500
869,TULE RIVER HOMEBUYER EARNED EQUITY AGENCY,PANORAMA MORTGAGE GROUP LLC,351 E 115TH ST,2024-10-25,854000,838531
870,AMP PROPERTIES LIC,LOAN STORE INC,2122 CENTURY PARK LN APT 111,2024-10-24,1120000,896000
871,STECK SUNSET 26 LLC,BANK OF AMERICA NA,13023 W SUNSET BLVD,2024-10-24,5145000,2500000
872,DREAMERS INVESTMENTS LLC,CENTER STREET LNDG VIII SPE LL,3009 S NORTON AVE,2024-10-24,586000,600000
873,THERAPEUTIC PLAY FOUNDATION INC,KAUAI SONG LLC,5850 6TH AVE,2024-10-24,1210000,786500
874,EWA HOLDINGS LLC,HL3 SIERRA LLC,3535 VERDUGO VISTA TER,2024-10-24,930000,837000
875,DMORCITO LLC,LIMA ONE CAPITAL LLC,1203 W 103RD ST,2024-10-24,590000,525000
876,DMORCITO LLC,LIMA ONE CAPITAL LLC,1201 W 103RD ST,2024-10-24,590000,525000
877,3929 BRIGHTON STREET LLC,SPREO CAPITAL MANAGER LLC,3929 BRIGHTON AVE,2024-10-23,610000,790500
878,MF REAL ESTATE INVESTMENT LLC,CHURCHILL FUNDING I LLC,1292 1/2 S CITRUS AVE,2024-10-23,1658000,1984000
879,1857 WORKMAN LLC,KIAVI FUNDING INC,1857 WORKMAN ST,2024-10-23,617500,555300
880,FIDELITY MANAGEMENT & CONSTRUCTION INC,ALAN R DAVIDSON TRUST,3885 PERCY ST,2024-10-23,452000,385000
881,KRAMERWOOD PROPERTIES LLC,CV3 FINANCIAL SERVICES LLC,8955 KRAMERWOOD PL,2024-10-23,2000000,1360000
882,KRAMERWOOD PROPERTIES LLC,CV3 FINANCIAL SERVICES LLC,8951 KRAMERWOOD PL,2024-10-23,2150000,1499000
883,KRAMERWOOD PROPERTIES LLC,CV3 FINANCIAL SERVICES LLC,8939 KRAMERWOOD PL,2024-10-23,1900000,1272000
884,I BUY UGLY HOMES INC,IRON BRIDGE MORTGAGE FUND LLC,426 E 70TH ST,2024-10-23,450000,405000
885,RONUS INC,KIAVI FUNDING INC,3876 OLMSTED AVE,2024-10-22,845000,760500
886,FVR GROUP TWELVE LLC,HL3 SIERRA LLC,8110 KENYON AVE,2024-10-22,1420000,1275000
887,AMI CAPITAL LLC,QUANTA FINANCE INC,3744 ROSEWOOD AVE,2024-10-22,1350000,1930500
888,SV HOMES LLC,KIAVI FUNDING INC,3682 BUCKINGHAM RD,2024-10-21,1000000,1142400
889,6516 W 82ND ST LLC,CHAMPIONS FUNDING LLC,6516 W 82ND ST,2024-10-21,1205000,900000
890,1515 BLAKE LLC,SPREO CAPITAL MANAGER LLC,1515 BLAKE AVE,2024-10-21,900000,1672000
891,1515 BLAKE LLC,SPREO CAPITAL MANAGER LLC,2404 BIRKDALE ST,2024-10-21,900000,1672000
892,OCEAN DEVELOPMENT INC,TOM J THOMAS CHARITABLE REMAIN,330 W 81ST ST,2024-10-21,460000,824000
893,MAW GLOBAL CORP,BENCH EQUITY LLC,1123 E 106TH ST,2024-10-21,490000,392000
894,SHERIDAN ONE LLC,SPREO CAPITAL MANAGER LLC,700 S CHICAGO ST,2024-10-18,675000,888000
895,ARRIVI FLIP LLC,CENTER STREET LNDG VIII SPE LL,13023 WARREN AVE,2024-10-18,1875000,2006370
896,GSI INVESTMENT LLC,DEEPHAVEN MORTGAGE LLC,739 NEW DEPOT ST,2024-10-18,1250000,1000000
897,REGINA FALLER LLC,PNC BANK NATIONAL ASSOCIATION,9210 BEVERLYWOOD ST,2024-10-18,3600000,2250000
898,3159 IVY LLC,GENESIS CAPITAL LLC,3159 IVY ST,2024-10-18,900000,919000
899,DLUCKY INC,LAMB DEVELOPMENT LLC,3454 HUNTER ST,2024-10-17,535000,360000
900,4J ST THERESA LLC,ARCHWEST FUNDING LLC,5410 THORNBURN ST,2024-10-17,1270000,1016000
901,FOCUS INVESTMENT LLC,KIAVI FUNDING INC,3673 GREENFIELD AVE,2024-10-17,1130000,910000
902,EWA CAPITAL LLC,HL3 SIERRA LLC,11714 S SPRING ST,2024-10-17,290000,361000
903,OCEAN DEVELOPMENT INC,TOM J THOMAS LIVING TRUST,1159 E 43RD PL,2024-10-16,455000,1000000
904,CATERRA PROPERTY 1 LLC,SPREO CAPITAL MANAGER LLC,2718 MALABAR ST,2024-10-16,650000,843400
905,AGILE TRANSFORMATION GROUP LLC,KIAVI FUNDING INC,5928 S LA BREA AVE,2024-10-16,705000,742400
906,RECHAR ENTERPRISES LLC,KIAVI FUNDING INC,2603 W 75TH ST,2024-10-16,515000,626200
907,EQUITY OPPORTUNITIES LLC,SCHAEFER FIN'L SERVICES INC,9741 ALCOTT ST,2024-10-16,1550000,300000
908,ONWARD CAPITAL LLC,GENESIS CAPITAL LLC,6239 BANNER AVE,2024-10-16,1040000,884000
909,B & B LEGACY LLC,KIAVI FUNDING INC,3924 DUBLIN AVE,2024-10-15,1100000,1245500
910,VISTA PROPERTY LLC,LENDINGONE LLC,1237 S CURSON AVE,2024-10-15,1450000,1551500
911,IHOMES 26 LLC,BANK OF AMERICA NA,1801 W 46TH ST,2024-10-11,2595000,1673750
912,2440MV LLC,ARIXA ENHANCED INCOME FUND LP,2633 MANDEVILLE CANYON RD,2024-10-11,1900000,3600000
913,BYE BYE HOUSE INC,CENTER STREET LNDG VIII SPE LL,2503 W 73RD ST,2024-10-11,515000,632833
914,LOYAL LENDING,REAL PROP FUNDING GROUP LLC,1024 S EASTMAN AVE,2024-10-11,576500,500000
915,2215 WELLESLEY HOLDINGS LLC,ORANGE LAND INVESTMENTS LLC,2215 WELLESLEY AVE,2024-10-11,2500000,1750000
916,ESAAM LIMITED CORP,ANCHOR LOANS LP,3818 TRACY ST,2024-10-11,1710000,1902735
917,MALKKOT LLC,EAST WEST BANK,3047 PERLITA AVE,2024-10-11,1049000,600000
918,DI NALLI CONSULTING LLC,COLORADO FEDERAL SAVINGS BANK,1823 S SHENANDOAH ST,2024-10-11,1595000,2210000
919,DOUBLE EAGLE INVESTMENTS LLC,STIFEL BANK AND TRUST,7456 DENROCK AVE,2024-10-10,1400000,980000
920,ALDAMA ACQUISITIONS LLC,ROBERT DACQUISTO IRA ACCOUNT I,2162 LEMOYNE ST,2024-10-10,950000,750000
921,5 STAR DISCOUNT HOMES LLC,ARIXA ENHANCED INCOME FUND LP,1673 E 111TH ST,2024-10-10,555000,1200000
922,GOLDEN RULE LENDING LLC,GOLDEN RULE LENDING LLC,1100 E 114TH ST,2024-10-10,35000,5000
923,MILLENIAL INVESTMENTS LLC,KIAVI FUNDING INC,6815 HAAS AVE,2024-09-30,660000,594000
924,TLP 1 LLC,GENESIS CAPITAL LLC,5646 W 62ND ST,2024-09-27,1585000,1668602
925,NEW BEGINNINGS VENTURES LLC,HL3 SIERRA LLC,1928 WALGROVE AVE,2024-09-27,970000,962500
926,2200 BALSAM LLC,BANK OF AMERICA NA,2200 BALSAM AVE,2024-09-27,2000000,1300000
927,CDY SOLAR ENERGY INVESTMENTS LLC,ASTIN CARR & CO,1155 E 76TH PL,2024-09-27,450000,406000
928,SP 1018 79TH LLC,ARCHWEST FUNDING LLC,1018 E 79TH ST,2024-09-27,650000,520000
929,CALIFORNIA SOLD INC,DIAZ WILLIAM,9427 BAIRD AVE,2024-09-27,400000,400000
930,OCEAN DEVELOPMENT INC,PARRIS STEVEN,905 E 113TH ST,2024-09-27,555000,800000
931,LOS HERMANOS VENTURES LLC,KIAVI FUNDING INC,3209 JOHNSTON ST,2024-09-26,435000,618100
932,UWR CAPITAL PARTNERS LLC,DEEPHAVEN MORTGAGE LLC,1889 LEMOYNE ST APT 2,2024-09-26,2030000,1500000
933,MURRMAN LLC,ANCHOR LOANS LP,6370 DREXEL AVE,2024-09-26,2050000,2250000
934,DAOL SDR LLC,EAST WEST BANK,4835 ELMWOOD AVE # 1,2024-09-26,3500000,1950000
935,DAOL SDR LLC,EAST WEST BANK,4835 ELMWOOD AVE # 2,2024-09-26,3500000,1950000
936,DAOL SDR LLC,EAST WEST BANK,4835 ELMWOOD AVE # 3,2024-09-26,3500000,1950000
937,DAOL SDR LLC,EAST WEST BANK,4835 ELMWOOD AVE # 4,2024-09-26,3500000,1950000
938,DAOL SDR LLC,EAST WEST BANK,4835 ELMWOOD AVE # 5,2024-09-26,3500000,1950000
939,DAOL SDR LLC,EAST WEST BANK,4835 ELMWOOD AVE # 6,2024-09-26,3500000,1950000
940,DAOL SDR LLC,EAST WEST BANK,4835 ELMWOOD AVE # 7,2024-09-26,3500000,1950000
941,DAOL SDR LLC,EAST WEST BANK,4835 ELMWOOD AVE # 8,2024-09-26,3500000,1950000
942,DAOL SDR LLC,EAST WEST BANK,4835 ELMWOOD AVE # 9,2024-09-26,3500000,1950000
943,L & E FLIPS LLC,DIVERSIFIED INCOME STRATEGY FU,8819 HOOPER AVE,2024-09-26,435000,348000
944,LOUD LTD,KIAVI FUNDING INC,3554 S SYCAMORE AVE,2024-09-25,750000,927300
945,7833 DENROCK LLC,ARIXA ENHANCED INCOME FUND LP,7833 DENROCK AVE,2024-09-25,1380000,1173000
946,DUNN DEVELOPMENT II LLC,ARCHWEST FUNDING LLC,2676 NEWELL ST,2024-09-25,660000,1820700
947,SPK ENTERPRISES LLC,LONE OAK FUND LLC,1823 N FULLER AVE UNIT 1,2024-09-25,1200000,2630000
948,SPK ENTERPRISES LLC,LONE OAK FUND LLC,1823 N FULLER AVE UNIT 2,2024-09-25,1200000,2630000
949,SPK ENTERPRISES LLC,LONE OAK FUND LLC,1823 N FULLER AVE UNIT 3,2024-09-25,1200000,2630000
950,SPK ENTERPRISES LLC,LONE OAK FUND LLC,1823 N FULLER AVE UNIT 4,2024-09-25,1200000,2630000
951,SPK ENTERPRISES LLC,LONE OAK FUND LLC,1823 N FULLER AVE UNIT 5,2024-09-25,1200000,2630000
952,SPK ENTERPRISES LLC,LONE OAK FUND LLC,1823 N FULLER AVE UNIT 6,2024-09-25,1200000,2630000
953,RAZD 14 INC,TRILION CAPITAL FUND LLC,2267 LAS FLORES DR,2024-09-25,700000,557000
954,DUNROY GROUP LLC,COMMERCE BANK,1812 TAFT AVE,2024-09-25,2000000,1250000
955,TELOS PROPERTIES INC,LA PROPERTY,10905 S MAIN ST,2024-09-25,820000,2000000
956,NELA VALUE FUND I INC,KIAVI FUNDING INC,2711 SILVER RIDGE AVE,2024-09-24,1300000,1419900
957,LYONZDEN INVESTMENTS INC,ORCHARD FUNDING,832 W 95TH ST,2024-09-24,575000,594450
958,3A PARC LLC,SPREO CAPITAL MANAGER LLC,10104 EMPYREAN WAY APT 103,2024-09-23,2200000,2560000
959,MOON REI LLC,COREVEST AMERICAN FIN LNDR LLC,907 N KENTER AVE,2024-09-23,2450000,2656150
960,RUFUSS II INC,ANCHOR LOANS LP,3890 S HARVARD BLVD,2024-09-23,650000,425000
961,HOME INVESTMENTS LOS ANGELES LLC,EAST STREET CAPITAL CA LLC,854 E 50TH ST,2024-09-23,660000,610232
962,LUMIER LLC,RGE ENTERPRISES INC,154 W 93RD ST,2024-09-23,480000,432000
963,REDUXN INVESTMENTS LLC,MARSHALL REDDICK MTG FUND LLC,2952 S BRONSON AVE,2024-09-20,815000,762500
964,HAYWORTH AVE 1568 S LLC,PARTNERS CAP SOL REIT I LLC,1568 S HAYWORTH AVE,2024-09-20,1650000,2400000
965,G & F PROPERTY INVESTMENTS INC,NCL EAGLEPOINT INVESTMENTS LLC,512 S LA VERNE AVE,2024-09-20,571500,300000
966,KSLEE INC,F&A SERVICES INC,1169 E 34TH ST,2024-10-09,850000,600000
967,AREA OBJECTIVE CA LLC,CONVENTUS LLC,2020 LA BREA TER,2024-10-09,2000000,2422400
968,MR REHAB INC,KIAVI FUNDING INC,1517 FAIR PARK AVE,2024-10-09,1075000,1021200
969,GOLDEN STREET INVESTMENTS,REYNOLDS FAMILY TRUST,6120 S WILTON PL,2024-10-09,850000,645000
970,GOLDEN STREET INVESTMENTS,REYNOLDS FAMILY TRUST,6124 S WILTON PL,2024-10-09,850000,645000
971,OCEAN DEVELOPMENT INC,FORGE TRUST CO,323 W 52ND ST,2024-10-08,525000,700000
972,FPG ECHO PARK PROPERTY LLC,JPMORGAN CHASE BANK NA,2436 ECHO PARK AVE,2024-10-08,2400000,1645000
973,160 S CITRUS LLC,MORGAN STANLEY PVT BANK NA,160 S CITRUS AVE,2024-10-08,1838500,1378687
974,SOCAL INNOVATIVE GROUP LLC,INVESTORS FIRST CHOICE,2000 N NEW HAMPSHIRE AVE,2024-10-08,1750000,1560000
975,2536 MEDLOW HOLDING LLC,QUANTA FINANCE INC,2536 MEDLOW AVE,2024-10-08,1150000,1536850
976,L & A FINANCIAL GROUP LLC,VONTIVE INC,3050 E SIDE BLVD,2024-10-07,400000,463356
977,OCEAN DEVELOPMENT INC,WHITE FENCE FARMS LLC,1371 E 58TH ST,2024-10-04,575000,650000
978,COKO CLUB LLC,ORCHARD FUNDING,5882 BOWCROFT ST UNIT 2,2024-10-04,320000,346230
979,GOOD MOOD STUDIO INC,KIAVI FUNDING INC,4830 ELMWOOD AVE APT 302,2024-10-04,619000,525900
980,LYONZDEN INVESTMENTS,ORCHARD FUNDING,1011 W 75TH ST,2024-10-04,502000,513000
981,3923 REVERE AVE LLC,RCN CAPITAL LLC,3923 REVERE AVE,2024-10-03,1275000,1647500
982,PERSEPOLIS PARTNERS LLC,VISTA POINT MORTGAGE LLC,1185 N MARIPOSA AVE,2024-10-03,1148500,918666
983,PERSEPOLIS PARTNERS LLC,VISTA POINT MORTGAGE LLC,1201 N MARIPOSA AVE,2024-10-03,1165000,660000
984,PERSEPOLIS PARTNERS LLC,VISTA POINT MORTGAGE LLC,1205 N MARIPOSA AVE,2024-10-03,1148500,918666
985,DS & CO INC,KIAVI FUNDING INC,8471 HOOPER AVE,2024-10-03,485000,564600
986,VIZCA LLC,WOJTASZEK DAVID,2011 ECHO PARK AVE,2024-10-02,1695000,1271250
987,GI PROPERTY 91 LLC,INFINITY BANK,852 N MARIPOSA AVE,2024-10-02,1150000,805000
988,5200 ST ANDREWS OWNER LLC,LOAN FUNDER LLC,5200 S ST ANDREWS PL,2024-10-01,485000,561500
989,MDP1 LLC,ARIXA ENHANCED INCOME FUND LP,420 N KINGS RD,2024-10-01,1900000,1330000
990,HOUSUP LLC,C & W INVESTMENT GROUP LLC,8280 GRAND VIEW DR,2024-10-01,1600000,1200000
991,CRESPO HOLDINGS CO LLC,ORCHARD FUNDING,1113 E 95TH ST,2024-10-01,400000,450000
992,MS83 INVESTMENTS LLC,GENESIS CAPITAL LLC,1201 W 96TH ST,2024-10-01,475000,409500
993,441 N CLIFFWOOD LLC,BMO BANK NA,441 N CLIFFWOOD AVE,2024-09-30,11600000,6960000
994,217 N PARK VIEW LLC,ANCHOR LOANS LP,217 N PARK VIEW ST,2024-09-30,1150000,862500
995,AV REAL ESTATE DEVELOPMENT LLC,CV3 FINANCIAL SERVICES LLC,12520 GILMORE AVE,2024-09-30,1255000,1420466
996,EWA CAPITAL LLC,HL3 SIERRA LLC,1537 S WESTGATE AVE APT 3,2024-09-30,850000,840000
997,DEASO HOLDINGS LLC,EQUITY TRUST CO,5010 ELMWOOD AVE,2024-09-20,1620000,1200000
998,CORONA SANCTUARY LLC,LOAN FUNDER LLC,6423 DEEP DELL PL,2024-09-20,1075000,1253500
999,MOIYO PROPERTIES LLC,GENESIS CAPITAL LLC,1717 YOSEMITE DR,2024-09-20,1610000,1687500
1000,859 MANSFIELD LLC,ARIXA ENHANCED INCOME FUND LP,859 N MANSFIELD AVE,2024-09-20,1550000,2250000
1001,RHERRERA AND THE KIDS LLC,KIAVI FUNDING INC,1721 E 115TH ST,2024-09-20,465000,518800
1002,1306 W MARTIN LUTHER KING JR BLVD LLC,AMERITRUST MTG CORPORATION,1306 W MARTIN LUTHER KING JR BLVD,2024-09-19,850000,680000
1003,WOLFPAK INVESTMENTS INC,ANA P RODRIGUEZ MARITAL TRUST,1251 LEIGHTON AVE,2024-09-19,430000,395000
1004,FG HOMES LLC,QUANTA FINANCE INC,1652 MURCHISON ST,2024-09-19,925000,936250
1005,FG HOMES LLC,QUANTA FINANCE INC,1640 MURCHISON ST,2024-09-19,925000,936250
1006,WEST COAST HOME BUYERS AJ LLC,RFLF 4 LLC,6005 S LA BREA AVE,2024-09-19,735000,709750
1007,CHIMAY ENTERPRISES LLC,ANCHOR LOANS LP,2530 GANAHL ST,2024-09-19,850000,978243
1008,EVERRISE PROPERTY STRATEGIES LLC,KIAVI FUNDING INC,4040 VIA MARISOL APT 121,2024-09-19,380000,442100
1009,UNCHARTED HOMES LLC,LOAN FUNDER LLC,1579 OAK GROVE DR,2024-09-19,1305000,1365000
1010,5933 COMEY LLC,ANCHOR LOANS LP,5933 COMEY AVE,2024-09-18,950000,760000
1011,TLP1 LLC,KIAVI FUNDING INC,12502 ROSY CIR,2024-09-18,1350000,1250000
1012,FAIR HOME BUYERS LLC,GENESIS CAPITAL LLC,3702 SENECA AVE,2024-09-18,1176000,1481150
1013,RUAH PROPERTIES LLC,GENESIS CAPITAL LLC,2021 ISABEL ST,2024-09-18,625000,562500
1014,DANNY REYES INVESTMENTS LLC,LUXURY MORTGAGE CORP,211 N AVENUE 63,2024-09-18,1340000,938000
1015,CHIMAY ENTERPRISES LLC,ANCHOR LOANS LP,2760 FYLER PL,2024-09-18,724000,916958
1016,777 APARTMENT MANAGEMENT LLC,CONVENTUS LLC,11116 S FIGUEROA ST,2024-09-18,1200000,893250
1017,SANTA MESA LEGACY CREATIONS LLC,KIAVI FUNDING INC,918 W COLLEGE ST APT 102,2024-09-17,425000,401200
1018,DU INVESTMENT FUND I LLC,FARSHADFAR DANNY,3257 PROVON LN,2024-09-17,1750000,1100000
1019,1644 GOLDEN GATE LLC,GENESIS CAPITAL LLC,1644 GOLDEN GATE AVE,2024-09-17,1050000,1494000
1020,HM HOMES INC,COREVEST AMERICAN FIN LNDR LLC,7142 MARSHFIELD WAY,2024-09-17,730000,1052500
1021,GIBSON HOUSE LLC,VISTA POINT MORTGAGE LLC,7148 MARSHFIELD WAY,2024-09-17,630000,782556
