id,buyerName,lenderName,address,recordingDate,saleValue,loanAmount
613,ELITE HOLLYWOOD RESIDENCES LTD,BANK OF MONTREAL,6250 HOLLYWOOD BLVD UNIT 6G,2025-01-10,925000,500000
614,HBC INVESTMENTS INC,REYNOLDS FAMILY TRUST,1217 W 77TH ST,2025-01-10,615000,495000
615,BAKSACACIA LLC,RED DRAGON INVESTMENT,825 W 40TH PL,2025-01-08,625000,562500
616,GI PROPERTY 98 LLC,CONVENTUS LLC,3619 SOMERSET DR,2025-01-08,700000,990547
617,GI PROPERTY 94 LLC,INFINITY BANK,4546 LOMITA ST,2025-01-08,880000,616000
618,PRINCIPLES INC,PACIFIC PREMIER BANK,1943 HANCOCK ST,2025-01-08,2780000,1875000
619,FVR GROUP TWENTYTHREE LLC,ANCHOR LOANS LP,6027 W 76TH ST,2025-01-08,1675000,1507500
620,ESAAM LIMITED CORP,KIAVI FUNDING INC,2244 FERNLEAF ST,2025-01-08,750000,562500
621,PAN PARTNERSHIP INC,VELOCITY COMMERCIAL CAP LLC,5846 DENVER AVE,2025-01-08,500000,876000
622,PAN PARTNERSHIP INC,VELOCITY COMMERCIAL CAP LLC,5842 DENVER AVE,2025-01-08,500000,876000
623,ONNI 530 S MAPLETON LLC,SOUTH HILL INSURANCE SCC,530 S MAPLETON DR,2025-01-07,36000000,14000000
624,HOUSUP LLC,TERRANCE TAYLOR LLC,10501 WILSHIRE BLVD UNIT 1512,2025-01-07,655000,470000
625,MERE SOUTHAMPTON PROPERTIES LLC,CITIBANK NA,11782 SOUTHAMPTON CT,2025-01-07,13500000,9450000
626,MJD INVESTMENT CORP,CITADEL SERVICING CORPORATION,822 N GAGE AVE,2025-01-07,765000,550000
627,SP CASAS LLC,HL3 SIERRA LLC,1057 S ALMA AVE,2025-01-07,565000,642600
628,3444 REDWOOD LLC,ARIXA SECURED INCOME FUND LLC,3444 REDWOOD AVE,2025-01-07,1570000,1770000
629,EMPIRE PROCESSING INC,KIAVI FUNDING INC,701 N RAMPART BLVD,2025-01-07,762000,830000
630,ESAAM LIMITED CORP,KIAVI FUNDING INC,2248 FERNLEAF ST,2025-01-07,750000,562500
631,VRH INVESTMENTS LLC,QUANTA FINANCE INC,4430 ALUMNI AVE,2025-01-07,785000,768250
